item,price,store,image
HP 15-BS033NE Notebook PC,"6,999 L.E",Carrefour,http://www.egprices.com/images/thumb/hp_15-bs033ne_notebook_pc.jpg
Lenovo Ideapad 110 (i3/4/1TB) Notebook PC,"6,599 L.E",Carrefour,http://www.egprices.com/images/thumb/lenovo_ideapad_110_e1-7010__netbook_pc.jpg
Dell Inspiron 15R 3567 (i3/4/500) Notebook PC,"6,499 L.E",Carrefour,http://www.egprices.com/images/thumb/dell_inspiron_15r_3558_notebook_pc.jpg
Lenovo Ideapad 110 (Celeron /4/500) Notebook PC,"4,199 L.E",Carrefour,http://www.egprices.com/images/thumb/lenovo_ideapad_110_e1-7010__netbook_pc.jpg
HP 15-BS035NE Notebook PC,"9,888 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/15-bs035ne.jpg
HP 15-BS036NE Notebook PC (2CT87EA),"10,399 L.E",2B Computer,http://www.egprices.com/images/thumb/hp-15-bs036ne.jpg
Lenovo Ideapad Y700 (i7/16/1TB+128GB SSD/NVidia) Notebook PC,"24,999 L.E",2B Computer,http://www.egprices.com/images/thumb/lenovo_y700.jpg
Lenovo Ideapad Y700 (i7/16/1TB+256GB SSD/NVidia) Notebook PC,"22,999 L.E",2B Computer,http://www.egprices.com/images/thumb/lenovo_y700.jpg
Lenovo Ideapad 520 (i7/16/2TB/NVIDIA) Notebook PC,"16,799 L.E",2B Computer,http://www.egprices.com/images/thumb/lenovo-ideapad-520.jpg
Lenovo Ideapad 520 (i5/8/1TB/NVIDIA) Notebook PC,"14,299 L.E",2B Computer,http://www.egprices.com/images/thumb/lenovo_ideapad_520_i5.jpg
Lenovo Ideapad 110 (i5/8/1TB/R5 M430) Notebook PC,"9,399 L.E",2B Computer,http://www.egprices.com/images/thumb/lenovo_ideapad_110_e1-7010__netbook_pc.jpg
Lenovo Ideapad 320 (i7/8/1TB/R7 M530) Notebook PC,"12,450 L.E",Collection,http://www.egprices.com/images/thumb/lenovo-ideapad-320.jpg
Dell Inspiron 15R 3567 (i7/8/1TB/R5 M340) Notebook PC + Free Bag,"12,399 L.E",Carrefour,http://www.egprices.com/images/thumb/dell_inspiron_15r_3558_notebook_pc.jpg
Lenovo Ideapad 320 (i5/8/1TB/R5 M530) Netbook PC,"10,175 L.E",Collection,http://www.egprices.com/images/thumb/lenovo-ideapad-320.jpg
Dell Inspiron 15R 3567 (i5/4/1TB/R5 M340) Notebook PC,"9,399 L.E",2B Computer,http://www.egprices.com/images/thumb/dell_inspiron_15r_3558_notebook_pc.jpg
Dell Inspiron 15R 3567 (i3/4/500) Notebook PC,"6,999 L.E",2B Computer,http://www.egprices.com/images/thumb/dell_inspiron_15r_3558_notebook_pc.jpg
Lenovo Ideapad 110 (i3/4/1TB) Notebook PC,"6,799 L.E",2B Computer,http://www.egprices.com/images/thumb/lenovo_ideapad_110_e1-7010__netbook_pc.jpg
Lenovo Ideapad 110 (i3/4/1TB) Notebook PC,"6,150 L.E",Delta Computer Alex,http://www.egprices.com/images/thumb/lenovo_ideapad_110_e1-7010__netbook_pc.jpg
Dell Inspiron 15R 5567 (i7/8/1TB/R7 M440) Notebook PC,"11,900 L.E",Collection,http://www.egprices.com/images/thumb/dell_inspiron_15r_5558_notbook.jpg
Lenovo Ideapad 310 (i7/8/1TB/NVIDIA) Notebook PC,"11,099 L.E",Collection,http://www.egprices.com/images/thumb/lenovo_ideapad_310_notbook_pc.jpg
Lenovo Ideapad 510 (i7/8/1TB/NVIDIA) Notebook PC,"14,999 L.E",2B Computer,http://www.egprices.com/images/thumb/lenovo_ideapad_510_notebook_pc.jpg
Lenovo Ideapad 110 (Celeron /4/500) Notebook PC,"4,599 L.E",2B Computer,http://www.egprices.com/images/thumb/lenovo_ideapad_110_e1-7010__netbook_pc.jpg
HP Stream 13-c100ne Notebook PC,"5,199 L.E",2B Computer,http://www.egprices.com/images/thumb/hp_stream_notebook_-_13-c100ne.jpg
Lenovo Ideapad 700 (i7/16/1TB/NVidia) Notebook PC,"14,999 L.E",Compu Data Center,http://www.egprices.com/images/thumb/lenovo_ideapad_700.jpg
Lenovo Ideapad 520 (i5/16/2TB/NVIDIA) Notebook PC,"13,650 L.E",Compu Data Center,http://www.egprices.com/images/thumb/lenovo_ideapad_520_i5.jpg
Lenovo Ideapad 520 (i7/16/2TB/NVIDIA MX150 4GB) Notebook PC,"17,250 L.E",Compu Data Center,http://www.egprices.com/images/thumb/lenovo-ideapad-520.jpg
Lenovo Legion Y520 (i7/16/1TB+256G SSD/NVIDIA/W10) Notebook PC,"26,250 L.E",Compu Data Center,http://www.egprices.com/images/thumb/lenovo-legion-y520.jpg
Lenovo Ideapad 110 (i3/4/1TB) Notebook PC,"6,300 L.E",Compu Data Center,http://www.egprices.com/images/thumb/lenovo_ideapad_110_e1-7010__netbook_pc.jpg
Lenovo Legion Y520 (i7/16/1TB+128G SSD/GTX 1060 Ti 6GB/W10) Notebook PC,"26,899 L.E",CompuScience,http://www.egprices.com/images/thumb/lenovo-legion-y520.jpg
Lenovo Legion Y720 (i7/16/2TB+256G SSD/NVIDIA) Notebook PC,"28,000 L.E",Brothers for Import,http://www.egprices.com/images/thumb/legion_y720.jpg
Lenovo Ideapad V310 (i5/4/500/Radeon R5 M430) Notebook PC,"8,500 L.E",Brothers for Import,http://www.egprices.com/images/thumb/lenovo-ideapad-v310.jpg
Lenovo Ideapad V510 (i5/8/1TB/Radeon R5 M430) Notebook PC,"9,600 L.E",Brothers for Import,http://www.egprices.com/images/thumb/lenovo_v520.jpg
Lenovo Ideapad V510 (i7/8/1TB/Radeon R5 M430) Notebook PC,"10,900 L.E",Brothers for Import,http://www.egprices.com/images/thumb/lenovo_v520.jpg
Lenovo Ideapad V510 (i5/4/500/Radeon R5 M430) Notebook PC,"8,600 L.E",Brothers for Import,http://www.egprices.com/images/thumb/lenovo_v520.jpg
Lenovo Ideapad 520 (i7/8/1TB/NVIDIA MX150 4GB) Notebook PC,"13,800 L.E",Brothers for Import,http://www.egprices.com/images/thumb/lenovo-ideapad-520.jpg
Lenovo Ideapad 520 (i7/8/1TB/NVIDIA 940 4GB) Notebook PC,"13,000 L.E",Brothers for Import,http://www.egprices.com/images/thumb/lenovo-ideapad-520.jpg
Lenovo Ideapad 320 (i7- 6500U/8/1TB/NVIDIA) Notebook PC,"10,750 L.E",Brothers for Import,http://www.egprices.com/images/thumb/lenovo_ideapad_320_i7_8_1tb.jpg
Lenovo Ideapad 320 (i7-7500U/8/1TB/NVIDIA) Notebook PC,"11,200 L.E",Brothers for Import,http://www.egprices.com/images/thumb/lenovo_ideapad_320_i7_8_1tb.jpg
Lenovo Ideapad 320 (i5/4/1TB/NVIDIA) Notebook PC,"8,500 L.E",Brothers for Import,http://www.egprices.com/images/thumb/lenovo_ideapad_320_i5.jpg
Dell Inspiron 15R 5567 (i7/8/2TB/R7 M440) Notebook PC,"12,750 L.E",Brothers for Import,http://www.egprices.com/images/thumb/dell_inspiron_15r_5558_notbook.jpg
Lenovo Legion Y520 (i7/16/2TB+256G SSD/NVIDIA) Notebook PC,"22,700 L.E",Brothers for Import,http://www.egprices.com/images/thumb/lenovo-legion-y520.jpg
Lenovo Ideapad 110 (i3/4/1TB) Notebook PC,"6,100 L.E",Brothers for Import,http://www.egprices.com/images/thumb/lenovo_ideapad_110_e1-7010__netbook_pc.jpg
Cherry ZE04D Notebook PC,"2,899 L.E",CompuScience,http://www.egprices.com/images/thumb/cherry-ze04d-notebook.jpg
Cherry ZE04G Notebook PC,"2,899 L.E",CompuScience,http://www.egprices.com/images/thumb/cherry-ze04g-notebook-pc.jpg
"Cherry ZE003 Notebook PC (Black, Red)","2,399 L.E",CompuScience,http://www.egprices.com/images/thumb/cherry_ze003_notebook_pc.jpg
HP 15-BS032NE Notebook PC (2CT82EA),"6,700 L.E",MEST,http://www.egprices.com/images/thumb/15-bs032ne.jpg
Lenovo Ideapad Y700 (i7/16/1TB+128GB SSD/NVidia) Notebook PC,"22,399 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/lenovo_y700.jpg
Lenovo Ideapad 520 (i5/16/2TB/NVIDIA) Notebook PC,"13,666 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/lenovo_ideapad_520_i5.jpg
Lenovo E4180 (I7/8/1TB/R5 M330) Notebook PC,"10,599 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/lenovo_e4070_1.jpg
HP 15-BS033NE Notebook PC,"6,777 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/hp_15-bs033ne_notebook_pc.jpg
Lenovo Ideapad 320 (i3/4/1TB) Notebook PC,"6,549 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/lenovo-ideapad-320.jpg
Lenovo Ideapad 320 (AMD/4/1TB) Notebook PC,"4,599 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/lenovo-ideapad-320.jpg
HP 255 G6 (AMD E2/4/500/R2) Notebook PC,"4,599 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/hp_255_g6.jpg
HP ProBook 450 G4 (i5/8/1TB/NVIDIAI) Notebook PC,"11,250 L.E",MEST,http://www.egprices.com/images/thumb/hp_probook_450_g4.jpg
Dell Inspiron 15R 5567 (i7/8/1TB/R7 M440) Notebook PC,"11,849 L.E",Brothers for Import,http://www.egprices.com/images/thumb/dell_inspiron_15r_5558_notbook.jpg
Dell Inspiron 15R 5559 (i7/8/1TB/ATI) Notebook PC,"11,650 L.E",Brothers for Import,http://www.egprices.com/images/thumb/dell_inspiron_15r_5558_notbook.jpg
Dell Inspiron 15R 5558 (i5/8/1TB/NVIDIA) Notebook PC,"10,400 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/dell_inspiron_15r_5558_notbook.jpg
